
Name- Room_1 

ENEMY_SPAWNER: 
BEGIN 
	50, 200, 20, 1, 1; 
END 

WALL: 
BEGIN 
	// north
	0, 0; 
	40, 0; 
	80, 0; 
	120, 0; 
	160, 0; 
	200, 0; 
	240, 0; 
	280, 0; 
	320, 0; 
	360, 0; 
	400, 0; 
	440, 0; 
	480, 0; 
	520, 0; 
	560, 0; 
	600, 0; 
	640, 0; 
	680, 0; 
	720, 0; 
	760, 0; 
	800, 0; 
	
	// south
	0, 540; 
	40, 540; 
	80, 540; 
	120, 540; 
	160, 540; 
	200, 540; 
	240, 540; 
	280, 540; 
	320, 540; 
	360, 540; 
	400, 540; 
	440, 540; 
	480, 540; 
	520, 540; 
	560, 540; 
	600, 540; 
	640, 540; 
	680, 540; 
	720, 540; 
	760, 540; 
	800, 540; 
	
	//west
	0, 40; 
	0, 80; 
	0, 120; 
	0, 160; 
	0, 200; 
	0, 240; 
	0, 280; 
	0, 320; 
	0, 360; 
	0, 400; 
	0, 440; 
	0, 480; 
	0, 520; 
	
	//east
	760, 40; 
	760, 80; 
	760, 120; 
	760, 160; 
	760, 200; 
	760, 240; 
	760, 280; 
	760, 320; 
	760, 360; 
	760, 400; 
	760, 440; 
	760, 480; 
	760, 520; 
	760, 540; // WHAT???
	
END 


	
